home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
Rot-Weiss Essen,Energie Cottbus,2,3,,,https://footystats.org/germany/fc-energie-cottbus-vs-rot-weiss-essen-h2h-stats#8205878,2.53,1.45,2.012,0.805,0.61,0.183,0.208
Erzgebirge Aue,VfB Stuttgart II U21,0,0,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-vfb-stuttgart-1893-ii-h2h-stats#8205856,1.14,2.02,0.843,1.944,0.21,0.213,0.577
TSV 1860 München,1. FC Saarbrücken,2,0,,,https://footystats.org/germany/tsv-1860-munchen-vs-1-fc-saarbrucken-h2h-stats#8206113,1.97,1.14,1.916,0.866,0.566,0.217,0.216
VfL Osnabrück,FC Ingolstadt 04,1,0,,,https://footystats.org/germany/fc-ingolstadt-04-vs-vfl-osnabruck-h2h-stats#8206114,1.75,1.36,1.635,1.132,0.467,0.233,0.299
TSV Havelse,SSV Ulm 1846,2,1,,,https://footystats.org/germany/tsv-havelse-vs-ssv-ulm-1846-h2h-stats#8205881,1.43,0.92,1.736,0.996,0.489,0.269,0.242
Alemannia Aachen,SSV Jahn Regensburg,0,2,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-tsv-alemannia-aachen-h2h-stats#8205891,1.5,1.34,1.483,1.267,0.411,0.25,0.339
F.C. Hansa Rostock,1. FC Schweinfurt 05,2,0,,,https://footystats.org/germany/fc-hansa-rostock-vs-1-fc-schweinfurt-1905-h2h-stats#8205892,3.18,0.84,2.586,0.304,0.826,0.109,0.065
SV Waldhof Mannheim,SV Wehen Wiesbaden,1,0,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-sv-waldhof-mannheim-07-h2h-stats#8205894,1.82,1.09,1.863,0.907,0.545,0.23,0.226
FC Viktoria Köln,SC Verl,1,5,,,https://footystats.org/germany/fc-viktoria-koln-vs-sc-verl-1924-h2h-stats#8206103,1.2,1.42,1.216,1.523,0.318,0.261,0.421
TSG Hoffenheim II U23,MSV Duisburg,4,1,,,https://footystats.org/germany/msv-duisburg-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205893,2.47,0.89,2.324,0.511,0.72,0.165,0.115
