home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link
MSV Duisburg,SC Verl,4,2,,,https://footystats.org/germany/msv-duisburg-vs-sc-verl-1924-h2h-stats#8206076
Alemannia Aachen,Rot-Weiss Essen,3,3,,,https://footystats.org/germany/rot-weiss-essen-vs-tsv-alemannia-aachen-h2h-stats#8205941
TSG Hoffenheim II U23,F.C. Hansa Rostock,2,2,,,https://footystats.org/germany/fc-hansa-rostock-vs-tsg-1899-hoffenheim-ii-h2h-stats#8206100
VfB Stuttgart II U21,TSV 1860 München,2,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-vfb-stuttgart-1893-ii-h2h-stats#8205954
FC Ingolstadt 04,Energie Cottbus,0,0,,,https://footystats.org/germany/fc-ingolstadt-04-vs-fc-energie-cottbus-h2h-stats#8205925
SSV Jahn Regensburg,FC Viktoria Köln,0,0,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-fc-viktoria-koln-h2h-stats#8205940
Erzgebirge Aue,1. FC Saarbrücken,0,0,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-1-fc-saarbrucken-h2h-stats#8205951
SV Wehen Wiesbaden,1. FC Schweinfurt 05,2,0,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-1-fc-schweinfurt-1905-h2h-stats#8205952
VfL Osnabrück,TSV Havelse,2,0,,,https://footystats.org/germany/vfl-osnabruck-vs-tsv-havelse-h2h-stats#8206115
SV Waldhof Mannheim,SSV Ulm 1846,2,1,,,https://footystats.org/germany/sv-waldhof-mannheim-07-vs-ssv-ulm-1846-h2h-stats#8205953
