home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link
Erzgebirge Aue,FC Ingolstadt 04,2,2,,,https://footystats.org/germany/fc-ingolstadt-04-vs-fc-erzgebirge-aue-h2h-stats#8205898
F.C. Hansa Rostock,Alemannia Aachen,2,2,,,https://footystats.org/germany/fc-hansa-rostock-vs-tsv-alemannia-aachen-h2h-stats#8205901
SV Waldhof Mannheim,1. FC Saarbrücken,2,1,,,https://footystats.org/germany/1-fc-saarbrucken-vs-sv-waldhof-mannheim-07-h2h-stats#8205914
TSV 1860 München,1. FC Schweinfurt 05,3,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-1-fc-schweinfurt-1905-h2h-stats#8206060
TSV Havelse,SC Verl,2,2,,,https://footystats.org/germany/tsv-havelse-vs-sc-verl-1924-h2h-stats#8205818
Energie Cottbus,MSV Duisburg,3,2,,,https://footystats.org/germany/msv-duisburg-vs-fc-energie-cottbus-h2h-stats#8205896
FC Viktoria Köln,SSV Ulm 1846,0,1,,,https://footystats.org/germany/fc-viktoria-koln-vs-ssv-ulm-1846-h2h-stats#8205900
TSG Hoffenheim II U23,SSV Jahn Regensburg,1,0,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205902
VfL Osnabrück,SV Wehen Wiesbaden,0,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-vfl-osnabruck-h2h-stats#8205903
Rot-Weiss Essen,VfB Stuttgart II U21,1,1,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-rot-weiss-essen-h2h-stats#8205904
