home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG
SSV Ulm 1846,SSV Jahn Regensburg,2,1,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-ssv-ulm-1846-h2h-stats#8205808,1.27,1.47
SC Verl,Energie Cottbus,2,1,,,https://footystats.org/germany/fc-energie-cottbus-vs-sc-verl-1924-h2h-stats#8205829,1.61,1.46
TSV Havelse,MSV Duisburg,1,1,,,https://footystats.org/germany/msv-duisburg-vs-tsv-havelse-h2h-stats#8205831,0.94,2.06
TSV 1860 München,TSG Hoffenheim II U23,1,5,,,https://footystats.org/germany/tsv-1860-munchen-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205826,1.61,1.83
VfB Stuttgart II U21,FC Viktoria Köln,2,1,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-fc-viktoria-koln-h2h-stats#8205782,0.96,1.56
Alemannia Aachen,SV Waldhof Mannheim,3,2,,,https://footystats.org/germany/tsv-alemannia-aachen-vs-sv-waldhof-mannheim-07-h2h-stats#8205823,1.47,1.81
Rot-Weiss Essen,F.C. Hansa Rostock,3,0,,,https://footystats.org/germany/fc-hansa-rostock-vs-rot-weiss-essen-h2h-stats#8205825,1.29,2.50
VfL Osnabrück,Erzgebirge Aue,3,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-vfl-osnabruck-h2h-stats#8205828,1.17,1.65
FC Ingolstadt 04,SV Wehen Wiesbaden,0,0,,,https://footystats.org/germany/fc-ingolstadt-04-vs-sv-wehen-wiesbaden-h2h-stats#8206097,1.29,1.31
1. FC Saarbrücken,1. FC Schweinfurt 05,2,1,,,https://footystats.org/germany/1-fc-saarbrucken-vs-1-fc-schweinfurt-1905-h2h-stats#8205819,1.17,1.15
