home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
TSV Havelse,SSV Jahn Regensburg,1,2,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-tsv-havelse-h2h-stats#8205860,1.36,1.51,1.275,1.477,0.342,0.248,0.409
TSV 1860 München,MSV Duisburg,3,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-msv-duisburg-h2h-stats#8205863,1.02,1.92,0.81,1.971,0.197,0.22,0.584
SSV Ulm 1846,Energie Cottbus,1,2,,,https://footystats.org/germany/fc-energie-cottbus-vs-ssv-ulm-1846-h2h-stats#8206107,0.99,1.36,1.093,1.633,0.273,0.274,0.453
Rot-Weiss Essen,FC Viktoria Köln,1,0,,,https://footystats.org/germany/rot-weiss-essen-vs-fc-viktoria-koln-h2h-stats#8206086,1.81,1.11,1.843,0.926,0.538,0.231,0.232
F.C. Hansa Rostock,SV Wehen Wiesbaden,3,0,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-fc-hansa-rostock-h2h-stats#8205854,2.2,0.97,2.152,0.656,0.653,0.192,0.154
1. FC Saarbrücken,SC Verl,2,4,,,https://footystats.org/germany/1-fc-saarbrucken-vs-sc-verl-1924-h2h-stats#8205855,1.59,1.94,1.177,1.604,0.32,0.219,0.462
Alemannia Aachen,FC Ingolstadt 04,0,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-tsv-alemannia-aachen-h2h-stats#8205858,2.26,2.0,1.546,1.255,0.449,0.199,0.352
VfB Stuttgart II U21,1. FC Schweinfurt 05,3,0,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-1-fc-schweinfurt-1905-h2h-stats#8205861,1.61,1.17,1.674,1.079,0.476,0.247,0.277
VfL Osnabrück,TSG Hoffenheim II U23,0,4,,,https://footystats.org/germany/vfl-osnabruck-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205862,1.18,1.87,0.943,1.831,0.239,0.226,0.535
Erzgebirge Aue,SV Waldhof Mannheim,0,2,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-sv-waldhof-mannheim-07-h2h-stats#8205859,1.27,1.42,1.267,1.475,0.336,0.258,0.406
