home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
SSV Ulm 1846,1. FC Schweinfurt 05,5,1,,,https://footystats.org/germany/1-fc-schweinfurt-1905-vs-ssv-ulm-1846-h2h-stats#8205776,1.58,1.43,1.478,1.28,0.412,0.242,0.346
Rot-Weiss Essen,TSG Hoffenheim II U23,3,1,,,https://footystats.org/germany/rot-weiss-essen-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205840,1.42,2.12,0.974,1.817,0.255,0.209,0.536
VfL Osnabrück,SSV Jahn Regensburg,2,0,,,https://footystats.org/germany/vfl-osnabruck-vs-ssv-jahn-2000-regensburg-h2h-stats#8205845,1.55,1.4,1.477,1.278,0.411,0.245,0.344
TSV 1860 München,FC Viktoria Köln,2,2,,,https://footystats.org/germany/tsv-1860-munchen-vs-fc-viktoria-koln-h2h-stats#8205849,2.78,0.61,2.589,0.29,0.823,0.12,0.057
SC Verl,FC Ingolstadt 04,2,2,,,https://footystats.org/germany/fc-ingolstadt-04-vs-sc-verl-1924-h2h-stats#8205850,1.58,1.77,1.267,1.505,0.347,0.227,0.426
TSV Havelse,SV Waldhof Mannheim,2,3,,,https://footystats.org/germany/tsv-havelse-vs-sv-waldhof-mannheim-07-h2h-stats#8205805,1.73,1.48,1.544,1.224,0.437,0.232,0.331
1. FC Saarbrücken,MSV Duisburg,0,0,,,https://footystats.org/germany/msv-duisburg-vs-1-fc-saarbrucken-h2h-stats#8205844,1.15,1.71,1.008,1.753,0.256,0.239,0.505
Alemannia Aachen,Erzgebirge Aue,0,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-tsv-alemannia-aachen-h2h-stats#8205847,1.61,1.47,1.472,1.289,0.411,0.239,0.35
VfB Stuttgart II U21,SV Wehen Wiesbaden,0,0,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-vfb-stuttgart-1893-ii-h2h-stats#8205851,1.46,1.32,1.469,1.278,0.405,0.253,0.342
F.C. Hansa Rostock,Energie Cottbus,1,3,,,https://footystats.org/germany/fc-hansa-rostock-vs-fc-energie-cottbus-h2h-stats#8206110,2.04,1.17,1.935,0.853,0.574,0.212,0.214
