home_team,away_team,home_goals,away_goals,match_date,match_time,url
SV Waldhof Mannheim,FC Viktoria Köln,2,0,,,https://footystats.org/germany/fc-viktoria-koln-vs-sv-waldhof-mannheim-07-h2h-stats#8206044
Erzgebirge Aue,TSV Havelse,2,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-tsv-havelse-h2h-stats#8206046
FC Ingolstadt 04,F.C. Hansa Rostock,1,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-fc-hansa-rostock-h2h-stats#8206045
MSV Duisburg,SSV Ulm 1846,2,1,,,https://footystats.org/germany/msv-duisburg-vs-ssv-ulm-1846-h2h-stats#8206152
TSG Hoffenheim II U23,Energie Cottbus,4,1,,,https://footystats.org/germany/fc-energie-cottbus-vs-tsg-1899-hoffenheim-ii-h2h-stats#8206042
VfB Stuttgart II U21,SC Verl,1,1,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-sc-verl-1924-h2h-stats#8206048
VfL Osnabrück,1. FC Saarbrücken,2,0,,,https://footystats.org/germany/vfl-osnabruck-vs-1-fc-saarbrucken-h2h-stats#8206070
Alemannia Aachen,TSV 1860 München,0,2,,,https://footystats.org/germany/tsv-1860-munchen-vs-tsv-alemannia-aachen-h2h-stats#8206151
SSV Jahn Regensburg,1. FC Schweinfurt 05,3,0,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-1-fc-schweinfurt-1905-h2h-stats#8206153
SV Wehen Wiesbaden,Rot-Weiss Essen,3,4,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-rot-weiss-essen-h2h-stats#8206047
