home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
MSV Duisburg,SC Verl,4,2,,,https://footystats.org/germany/msv-duisburg-vs-sc-verl-1924-h2h-stats#8206076,1.14,2.46,0.656,2.167,0.159,0.178,0.663
Alemannia Aachen,Rot-Weiss Essen,3,3,,,https://footystats.org/germany/rot-weiss-essen-vs-tsv-alemannia-aachen-h2h-stats#8205941,1.16,1.34,1.237,1.494,0.323,0.269,0.408
TSG Hoffenheim II U23,F.C. Hansa Rostock,2,2,,,https://footystats.org/germany/fc-hansa-rostock-vs-tsg-1899-hoffenheim-ii-h2h-stats#8206100,1.5,1.22,1.565,1.181,0.437,0.254,0.309
VfB Stuttgart II U21,TSV 1860 München,2,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-vfb-stuttgart-1893-ii-h2h-stats#8205954,2.17,1.34,1.896,0.9,0.564,0.205,0.232
FC Ingolstadt 04,Energie Cottbus,0,0,,,https://footystats.org/germany/fc-ingolstadt-04-vs-fc-energie-cottbus-h2h-stats#8205925,1.07,1.45,1.099,1.638,0.279,0.263,0.458
SSV Jahn Regensburg,FC Viktoria Köln,0,0,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-fc-viktoria-koln-h2h-stats#8205940,1.85,1.01,1.937,0.837,0.57,0.226,0.204
Erzgebirge Aue,1. FC Saarbrücken,0,0,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-1-fc-saarbrucken-h2h-stats#8205951,1.39,1.71,1.175,1.59,0.313,0.235,0.451
SV Wehen Wiesbaden,1. FC Schweinfurt 05,2,0,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-1-fc-schweinfurt-1905-h2h-stats#8205952,2.06,0.78,2.212,0.591,0.671,0.197,0.131
VfL Osnabrück,TSV Havelse,2,0,,,https://footystats.org/germany/vfl-osnabruck-vs-tsv-havelse-h2h-stats#8206115,2.02,1.63,1.627,1.159,0.471,0.214,0.315
SV Waldhof Mannheim,SSV Ulm 1846,2,1,,,https://footystats.org/germany/sv-waldhof-mannheim-07-vs-ssv-ulm-1846-h2h-stats#8205953,0.93,1.65,0.881,1.874,0.212,0.245,0.543
