home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
TSG Hoffenheim II U23,FC Viktoria Köln,1,3,,,https://footystats.org/germany/fc-viktoria-koln-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205966,0.86,0.98,1.241,1.436,0.306,0.324,0.371
Erzgebirge Aue,Energie Cottbus,1,2,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-fc-energie-cottbus-h2h-stats#8205785,0.89,1.89,0.735,2.046,0.172,0.219,0.609
TSV 1860 München,F.C. Hansa Rostock,1,0,,,https://footystats.org/germany/tsv-1860-munchen-vs-fc-hansa-rostock-h2h-stats#8205976,0.72,1.14,1.007,1.681,0.232,0.312,0.456
SSV Ulm 1846,1. FC Saarbrücken,1,1,,,https://footystats.org/germany/1-fc-saarbrucken-vs-ssv-ulm-1846-h2h-stats#8205971,2.02,1.08,1.985,0.803,0.591,0.212,0.197
FC Ingolstadt 04,TSV Havelse,3,2,,,https://footystats.org/germany/fc-ingolstadt-04-vs-tsv-havelse-h2h-stats#8205957,2.42,1.31,2.043,0.77,0.619,0.186,0.195
Alemannia Aachen,SC Verl,3,1,,,https://footystats.org/germany/tsv-alemannia-aachen-vs-sc-verl-1924-h2h-stats#8205963,1.32,1.73,1.116,1.649,0.293,0.235,0.471
MSV Duisburg,1. FC Schweinfurt 05,3,1,,,https://footystats.org/germany/msv-duisburg-vs-1-fc-schweinfurt-1905-h2h-stats#8205965,1.49,0.92,1.777,0.961,0.505,0.262,0.233
SSV Jahn Regensburg,SV Wehen Wiesbaden,2,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-ssv-jahn-2000-regensburg-h2h-stats#8205970,2.69,0.89,2.408,0.444,0.754,0.147,0.099
VfL Osnabrück,Rot-Weiss Essen,3,0,,,https://footystats.org/germany/vfl-osnabruck-vs-rot-weiss-essen-h2h-stats#8205972,1.69,1.48,1.518,1.248,0.428,0.234,0.338
VfB Stuttgart II U21,SV Waldhof Mannheim,3,1,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-sv-waldhof-mannheim-07-h2h-stats#8205967,1.91,1.55,1.611,1.168,0.464,0.221,0.316
