home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
Rot-Weiss Essen,VfL Osnabrück,1,1,,,https://footystats.org/germany/vfl-osnabruck-vs-rot-weiss-essen-h2h-stats#8205781,1.46,1.6,1.289,1.472,0.35,0.24,0.411
SV Waldhof Mannheim,VfB Stuttgart II U21,0,1,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-sv-waldhof-mannheim-07-h2h-stats#8205816,0.99,1.43,1.05,1.683,0.261,0.267,0.472
Energie Cottbus,Erzgebirge Aue,2,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-fc-energie-cottbus-h2h-stats#8205820,1.55,1.5,1.412,1.347,0.391,0.241,0.369
F.C. Hansa Rostock,TSV 1860 München,2,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-fc-hansa-rostock-h2h-stats#8205821,1.63,1.22,1.653,1.103,0.469,0.244,0.286
TSV Havelse,FC Ingolstadt 04,2,6,,,https://footystats.org/germany/fc-ingolstadt-04-vs-tsv-havelse-h2h-stats#8205822,1.99,2.37,1.192,1.613,0.333,0.195,0.473
1. FC Saarbrücken,SSV Ulm 1846,3,1,,,https://footystats.org/germany/1-fc-saarbrucken-vs-ssv-ulm-1846-h2h-stats#8205777,1.77,1.49,1.563,1.208,0.444,0.23,0.326
1. FC Schweinfurt 05,MSV Duisburg,0,3,,,https://footystats.org/germany/msv-duisburg-vs-1-fc-schweinfurt-1905-h2h-stats#8205780,1.41,1.63,1.236,1.524,0.332,0.24,0.428
FC Viktoria Köln,TSG Hoffenheim II U23,2,1,,,https://footystats.org/germany/fc-viktoria-koln-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205804,1.17,0.81,1.631,1.066,0.442,0.303,0.254
SC Verl,Alemannia Aachen,2,1,,,https://footystats.org/germany/tsv-alemannia-aachen-vs-sc-verl-1924-h2h-stats#8205807,,,,,,,
SV Wehen Wiesbaden,SSV Jahn Regensburg,2,0,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-ssv-jahn-2000-regensburg-h2h-stats#8205815,1.88,1.88,1.393,1.393,0.393,0.214,0.393
