home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
SSV Ulm 1846,SSV Jahn Regensburg,2,1,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-ssv-ulm-1846-h2h-stats#8205808,1.27,1.47,1.236,1.51,0.327,0.255,0.418
SC Verl,Energie Cottbus,2,1,,,https://footystats.org/germany/fc-energie-cottbus-vs-sc-verl-1924-h2h-stats#8205829,1.61,1.46,1.478,1.283,0.413,0.239,0.348
TSV Havelse,MSV Duisburg,1,1,,,https://footystats.org/germany/msv-duisburg-vs-tsv-havelse-h2h-stats#8205831,0.94,2.06,0.694,2.102,0.163,0.204,0.633
TSV 1860 München,TSG Hoffenheim II U23,1,5,,,https://footystats.org/germany/tsv-1860-munchen-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205826,1.61,1.83,1.252,1.524,0.343,0.224,0.434
VfB Stuttgart II U21,FC Viktoria Köln,2,1,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-fc-viktoria-koln-h2h-stats#8205782,0.96,1.56,0.952,1.794,0.233,0.254,0.513
Alemannia Aachen,SV Waldhof Mannheim,3,2,,,https://footystats.org/germany/tsv-alemannia-aachen-vs-sv-waldhof-mannheim-07-h2h-stats#8205823,1.47,1.81,1.172,1.601,0.315,0.228,0.458
Rot-Weiss Essen,F.C. Hansa Rostock,3,0,,,https://footystats.org/germany/fc-hansa-rostock-vs-rot-weiss-essen-h2h-stats#8205825,1.29,2.5,0.726,2.094,0.182,0.18,0.638
VfL Osnabrück,Erzgebirge Aue,3,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-vfl-osnabruck-h2h-stats#8205828,1.17,1.65,1.056,1.701,0.271,0.244,0.486
FC Ingolstadt 04,SV Wehen Wiesbaden,0,0,,,https://footystats.org/germany/fc-ingolstadt-04-vs-sv-wehen-wiesbaden-h2h-stats#8206097,1.29,1.31,1.354,1.382,0.363,0.264,0.373
1. FC Saarbrücken,1. FC Schweinfurt 05,2,1,,,https://footystats.org/germany/1-fc-saarbrucken-vs-1-fc-schweinfurt-1905-h2h-stats#8205819,1.17,1.15,1.374,1.344,0.364,0.282,0.354
