home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG
Rot-Weiss Essen,SV Wehen Wiesbaden,1,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-rot-weiss-essen-h2h-stats#8205946,1.09,1.07
SC Verl,VfB Stuttgart II U21,4,0,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-sc-verl-1924-h2h-stats#8205924,1.76,1.19
SSV Ulm 1846,MSV Duisburg,1,0,,,https://footystats.org/germany/msv-duisburg-vs-ssv-ulm-1846-h2h-stats#8205950,1.16,1.74
1. FC Schweinfurt 05,SSV Jahn Regensburg,0,1,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-1-fc-schweinfurt-1905-h2h-stats#8205917,1.57,1.47
1. FC Saarbrücken,VfL Osnabrück,0,1,,,https://footystats.org/germany/vfl-osnabruck-vs-1-fc-saarbrucken-h2h-stats#8205948,2.21,1.06
FC Viktoria Köln,SV Waldhof Mannheim,1,3,,,https://footystats.org/germany/fc-viktoria-koln-vs-sv-waldhof-mannheim-07-h2h-stats#8205945,0.73,1.14
F.C. Hansa Rostock,FC Ingolstadt 04,0,3,,,https://footystats.org/germany/fc-ingolstadt-04-vs-fc-hansa-rostock-h2h-stats#8205947,2.44,1.17
Energie Cottbus,TSG Hoffenheim II U23,3,1,,,https://footystats.org/germany/fc-energie-cottbus-vs-tsg-1899-hoffenheim-ii-h2h-stats#8206121,2.46,1.47
TSV 1860 München,Alemannia Aachen,2,2,,,https://footystats.org/germany/tsv-1860-munchen-vs-tsv-alemannia-aachen-h2h-stats#8206122,0.86,1.18
TSV Havelse,Erzgebirge Aue,3,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-tsv-havelse-h2h-stats#8206099,1.56,0.87
