home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
VfB Stuttgart II U21,TSV Havelse,2,1,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-tsv-havelse-h2h-stats#8205899,2.56,1.74,1.856,0.958,0.557,0.186,0.257
SC Verl,VfL Osnabrück,4,1,,,https://footystats.org/germany/vfl-osnabruck-vs-sc-verl-1924-h2h-stats#8206087,1.69,1.27,1.657,1.104,0.473,0.239,0.288
SSV Jahn Regensburg,F.C. Hansa Rostock,0,3,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-fc-hansa-rostock-h2h-stats#8205897,1.2,1.99,0.897,1.887,0.227,0.216,0.557
1. FC Schweinfurt 05,SV Waldhof Mannheim,2,3,,,https://footystats.org/germany/1-fc-schweinfurt-1905-vs-sv-waldhof-mannheim-07-h2h-stats#8206062,1.67,1.45,1.524,1.24,0.429,0.236,0.334
FC Ingolstadt 04,TSG Hoffenheim II U23,3,2,,,https://footystats.org/germany/fc-ingolstadt-04-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205784,2.25,1.58,1.789,1.009,0.529,0.202,0.269
MSV Duisburg,Alemannia Aachen,3,1,,,https://footystats.org/germany/msv-duisburg-vs-tsv-alemannia-aachen-h2h-stats#8205895,1.34,1.13,1.516,1.214,0.415,0.27,0.315
SSV Ulm 1846,TSV 1860 München,0,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-ssv-ulm-1846-h2h-stats#8205905,1.4,0.72,1.873,0.852,0.532,0.275,0.192
Energie Cottbus,FC Viktoria Köln,3,2,,,https://footystats.org/germany/fc-energie-cottbus-vs-fc-viktoria-koln-h2h-stats#8206111,2.27,1.56,1.812,0.988,0.537,0.2,0.262
1. FC Saarbrücken,Rot-Weiss Essen,2,3,,,https://footystats.org/germany/rot-weiss-essen-vs-1-fc-saarbrucken-h2h-stats#8206120,1.56,1.8,1.237,1.537,0.337,0.226,0.437
SV Wehen Wiesbaden,Erzgebirge Aue,3,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-sv-wehen-wiesbaden-h2h-stats#8205783,1.85,1.24,1.778,0.995,0.517,0.227,0.256
