home_team,away_team,home_goals,away_goals,match_date,match_time,url,home_xG,away_xG
SV Wehen Wiesbaden,SSV Ulm 1846,3,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-ssv-ulm-1846-h2h-stats#8206136,2.65,1.60
FC Viktoria Köln,1. FC Schweinfurt 05,2,0,,,https://footystats.org/germany/1-fc-schweinfurt-1905-vs-fc-viktoria-koln-h2h-stats#8206146,1.50,1.48
Erzgebirge Aue,F.C. Hansa Rostock,0,0,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-fc-hansa-rostock-h2h-stats#8206140,1.67,1.64
MSV Duisburg,VfB Stuttgart II U21,2,1,,,https://footystats.org/germany/msv-duisburg-vs-vfb-stuttgart-1893-ii-h2h-stats#8206041,1.36,1.44
TSG Hoffenheim II U23,TSV Havelse,0,0,,,https://footystats.org/germany/tsg-1899-hoffenheim-ii-vs-tsv-havelse-h2h-stats#8205778,2.03,1.48
Energie Cottbus,1. FC Saarbrücken,3,3,,,https://footystats.org/germany/fc-energie-cottbus-vs-1-fc-saarbrucken-h2h-stats#8206144,2.06,0.81
SV Waldhof Mannheim,SC Verl,2,2,,,https://footystats.org/germany/sv-waldhof-mannheim-07-vs-sc-verl-1924-h2h-stats#8206145,1.73,0.80
FC Ingolstadt 04,SSV Jahn Regensburg,1,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-ssv-jahn-2000-regensburg-h2h-stats#8206149,1.75,2.11
VfL Osnabrück,Alemannia Aachen,0,0,,,https://footystats.org/germany/vfl-osnabruck-vs-tsv-alemannia-aachen-h2h-stats#8206155,1.43,0.97
Rot-Weiss Essen,TSV 1860 München,1,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-rot-weiss-essen-h2h-stats#8206148,1.79,1.36
