home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
1. FC Schweinfurt 05,FC Ingolstadt 04,1,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-1-fc-schweinfurt-1905-h2h-stats#8205955,1.15,1.79,0.965,1.803,0.244,0.232,0.524
SSV Ulm 1846,Alemannia Aachen,1,3,,,https://footystats.org/germany/tsv-alemannia-aachen-vs-ssv-ulm-1846-h2h-stats#8205964,1.14,1.52,1.11,1.635,0.285,0.255,0.46
Energie Cottbus,SV Waldhof Mannheim,1,1,,,https://footystats.org/germany/fc-energie-cottbus-vs-sv-waldhof-mannheim-07-h2h-stats#8205958,2.16,1.87,1.565,1.231,0.453,0.204,0.342
Rot-Weiss Essen,SSV Jahn Regensburg,3,2,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-rot-weiss-essen-h2h-stats#8205949,1.7,2.02,1.203,1.584,0.33,0.213,0.457
1. FC Saarbrücken,VfB Stuttgart II U21,2,0,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-1-fc-saarbrucken-h2h-stats#8205956,1.3,1.26,1.395,1.339,0.376,0.266,0.357
F.C. Hansa Rostock,VfL Osnabrück,2,2,,,https://footystats.org/germany/vfl-osnabruck-vs-fc-hansa-rostock-h2h-stats#8205959,1.25,1.28,1.345,1.387,0.359,0.268,0.373
SV Wehen Wiesbaden,MSV Duisburg,6,1,,,https://footystats.org/germany/msv-duisburg-vs-sv-wehen-wiesbaden-h2h-stats#8205960,2.15,0.43,2.489,0.347,0.775,0.164,0.061
TSV Havelse,TSV 1860 München,0,5,,,https://footystats.org/germany/tsv-1860-munchen-vs-tsv-havelse-h2h-stats#8205961,1.75,1.73,1.401,1.376,0.392,0.224,0.384
SC Verl,TSG Hoffenheim II U23,3,1,,,https://footystats.org/germany/tsg-1899-hoffenheim-ii-vs-sc-verl-1924-h2h-stats#8205968,2.12,1.55,1.735,1.056,0.509,0.209,0.282
FC Viktoria Köln,Erzgebirge Aue,2,2,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-fc-viktoria-koln-h2h-stats#8205962,1.23,0.86,1.637,1.07,0.448,0.293,0.259
