home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG
1. FC Schweinfurt 05,FC Ingolstadt 04,1,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-1-fc-schweinfurt-1905-h2h-stats#8205955,1.15,1.79
SSV Ulm 1846,Alemannia Aachen,1,3,,,https://footystats.org/germany/tsv-alemannia-aachen-vs-ssv-ulm-1846-h2h-stats#8205964,1.14,1.52
Energie Cottbus,SV Waldhof Mannheim,1,1,,,https://footystats.org/germany/fc-energie-cottbus-vs-sv-waldhof-mannheim-07-h2h-stats#8205958,2.16,1.87
Rot-Weiss Essen,SSV Jahn Regensburg,3,2,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-rot-weiss-essen-h2h-stats#8205949,1.70,2.02
1. FC Saarbrücken,VfB Stuttgart II U21,2,0,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-1-fc-saarbrucken-h2h-stats#8205956,1.30,1.26
F.C. Hansa Rostock,VfL Osnabrück,2,2,,,https://footystats.org/germany/vfl-osnabruck-vs-fc-hansa-rostock-h2h-stats#8205959,1.25,1.28
SV Wehen Wiesbaden,MSV Duisburg,6,1,,,https://footystats.org/germany/msv-duisburg-vs-sv-wehen-wiesbaden-h2h-stats#8205960,2.15,0.43
TSV Havelse,TSV 1860 München,0,5,,,https://footystats.org/germany/tsv-1860-munchen-vs-tsv-havelse-h2h-stats#8205961,1.75,1.73
SC Verl,TSG Hoffenheim II U23,3,1,,,https://footystats.org/germany/tsg-1899-hoffenheim-ii-vs-sc-verl-1924-h2h-stats#8205968,2.12,1.55
FC Viktoria Köln,Erzgebirge Aue,2,2,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-fc-viktoria-koln-h2h-stats#8205962,1.23,0.86
