home_team,away_team,home_goals,away_goals,match_date,match_time,url,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
Rot-Weiss Essen,Alemannia Aachen,2,3,,,https://footystats.org/germany/rot-weiss-essen-vs-tsv-alemannia-aachen-h2h-stats#8206147,2.16,1.78,1.618,1.177,0.471,0.205,0.324
1. FC Schweinfurt 05,SV Wehen Wiesbaden,0,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-1-fc-schweinfurt-1905-h2h-stats#8205809,1.95,1.96,1.389,1.401,0.393,0.21,0.397
SSV Ulm 1846,SV Waldhof Mannheim,1,2,,,https://footystats.org/germany/sv-waldhof-mannheim-07-vs-ssv-ulm-1846-h2h-stats#8206056,1.76,2.36,1.063,1.74,0.289,0.196,0.515
F.C. Hansa Rostock,TSG Hoffenheim II U23,0,1,,,https://footystats.org/germany/fc-hansa-rostock-vs-tsg-1899-hoffenheim-ii-h2h-stats#8206150,1.79,2.05,1.242,1.548,0.344,0.21,0.446
Energie Cottbus,FC Ingolstadt 04,1,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-fc-energie-cottbus-h2h-stats#8205810,1.84,1.81,1.409,1.373,0.397,0.218,0.385
TSV 1860 München,VfB Stuttgart II U21,1,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-vfb-stuttgart-1893-ii-h2h-stats#8206069,1.97,1.08,1.957,0.827,0.58,0.216,0.203
TSV Havelse,VfL Osnabrück,0,2,,,https://footystats.org/germany/vfl-osnabruck-vs-tsv-havelse-h2h-stats#8206141,1.23,1.93,0.946,1.832,0.242,0.221,0.537
SC Verl,MSV Duisburg,2,3,,,https://footystats.org/germany/msv-duisburg-vs-sc-verl-1924-h2h-stats#8206142,1.6,1.2,1.647,1.106,0.467,0.247,0.286
1. FC Saarbrücken,Erzgebirge Aue,4,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-1-fc-saarbrucken-h2h-stats#8206143,1.54,1.87,1.184,1.593,0.32,0.223,0.457
FC Viktoria Köln,SSV Jahn Regensburg,1,0,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-fc-viktoria-koln-h2h-stats#8206074,1.78,1.25,1.728,1.039,0.498,0.233,0.269
