home_team,away_team,home_goals,away_goals,match_date,match_time,url,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
TSV 1860 München,TSV Havelse,3,2,,,https://footystats.org/germany/tsv-1860-munchen-vs-tsv-havelse-h2h-stats#8205802,2.04,1.57,1.676,1.11,0.488,0.213,0.299
SV Waldhof Mannheim,Energie Cottbus,0,3,,,https://footystats.org/germany/fc-energie-cottbus-vs-sv-waldhof-mannheim-07-h2h-stats#8206052,1.06,2.31,0.667,2.147,0.16,0.187,0.653
VfL Osnabrück,F.C. Hansa Rostock,0,0,,,https://footystats.org/germany/vfl-osnabruck-vs-fc-hansa-rostock-h2h-stats#8205814,1.48,0.59,2.032,0.705,0.59,0.263,0.147
Alemannia Aachen,SSV Ulm 1846,1,3,,,https://footystats.org/germany/tsv-alemannia-aachen-vs-ssv-ulm-1846-h2h-stats#8206058,1.47,1.77,1.194,1.576,0.321,0.23,0.449
MSV Duisburg,SV Wehen Wiesbaden,3,1,,,https://footystats.org/germany/msv-duisburg-vs-sv-wehen-wiesbaden-h2h-stats#8205779,1.44,1.38,1.415,1.333,0.388,0.252,0.361
VfB Stuttgart II U21,1. FC Saarbrücken,1,3,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-1-fc-saarbrucken-h2h-stats#8205806,1.71,1.47,1.537,1.229,0.435,0.233,0.332
Erzgebirge Aue,FC Viktoria Köln,0,3,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-fc-viktoria-koln-h2h-stats#8205812,2.35,1.64,1.807,0.997,0.537,0.196,0.267
FC Ingolstadt 04,1. FC Schweinfurt 05,2,3,,,https://footystats.org/germany/fc-ingolstadt-04-vs-1-fc-schweinfurt-1905-h2h-stats#8205813,2.29,1.84,1.655,1.145,0.485,0.199,0.315
TSG Hoffenheim II U23,SC Verl,2,4,,,https://footystats.org/germany/tsg-1899-hoffenheim-ii-vs-sc-verl-1924-h2h-stats#8205817,1.01,1.49,1.03,1.709,0.256,0.261,0.483
SSV Jahn Regensburg,Rot-Weiss Essen,1,3,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-rot-weiss-essen-h2h-stats#8205811,1.38,1.53,1.277,1.477,0.343,0.247,0.41
