home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
1. FC Schweinfurt 05,1. FC Saarbrücken,2,2,,,https://footystats.org/germany/1-fc-saarbrucken-vs-1-fc-schweinfurt-1905-h2h-stats#8205926,1.06,2.77,0.506,2.343,0.119,0.151,0.731
MSV Duisburg,TSV Havelse,1,1,,,https://footystats.org/germany/msv-duisburg-vs-tsv-havelse-h2h-stats#8206116,2.66,1.24,2.195,0.637,0.676,0.167,0.157
SV Waldhof Mannheim,Alemannia Aachen,2,1,,,https://footystats.org/germany/tsv-alemannia-aachen-vs-sv-waldhof-mannheim-07-h2h-stats#8205981,1.9,1.48,1.65,1.128,0.476,0.222,0.302
Energie Cottbus,SC Verl,0,0,,,https://footystats.org/germany/fc-energie-cottbus-vs-sc-verl-1924-h2h-stats#8205973,0.77,1.28,0.963,1.746,0.224,0.291,0.485
SSV Jahn Regensburg,SSV Ulm 1846,1,1,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-ssv-ulm-1846-h2h-stats#8205969,1.35,1.14,1.516,1.215,0.416,0.269,0.316
Erzgebirge Aue,VfL Osnabrück,1,3,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-vfl-osnabruck-h2h-stats#8205974,1.52,1.81,1.205,1.569,0.326,0.227,0.447
FC Viktoria Köln,VfB Stuttgart II U21,2,0,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-fc-viktoria-koln-h2h-stats#8205979,2.01,0.96,2.062,0.729,0.617,0.21,0.173
SV Wehen Wiesbaden,FC Ingolstadt 04,2,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-sv-wehen-wiesbaden-h2h-stats#8205982,1.78,0.62,2.184,0.594,0.654,0.222,0.124
F.C. Hansa Rostock,Rot-Weiss Essen,3,2,,,https://footystats.org/germany/fc-hansa-rostock-vs-rot-weiss-essen-h2h-stats#8206051,1.81,1.81,1.391,1.391,0.391,0.219,0.391
TSG Hoffenheim II U23,TSV 1860 München,1,2,,,https://footystats.org/germany/tsv-1860-munchen-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205980,1.24,1.13,1.441,1.28,0.388,0.278,0.334
