home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
FC Viktoria Köln,VfL Osnabrück,0,0,,,https://footystats.org/germany/vfl-osnabruck-vs-fc-viktoria-koln-h2h-stats#8205838,1.43,1.39,1.401,1.347,0.383,0.252,0.365
TSG Hoffenheim II U23,SSV Ulm 1846,1,1,,,https://footystats.org/germany/tsg-1899-hoffenheim-ii-vs-ssv-ulm-1846-h2h-stats#8205843,1.77,0.99,1.904,0.862,0.557,0.233,0.21
SSV Jahn Regensburg,SC Verl,2,0,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-sc-verl-1924-h2h-stats#8205841,1.05,1.88,0.85,1.927,0.209,0.224,0.568
SV Waldhof Mannheim,Rot-Weiss Essen,6,1,,,https://footystats.org/germany/rot-weiss-essen-vs-sv-waldhof-mannheim-07-h2h-stats#8205836,1.77,1.96,1.279,1.506,0.355,0.214,0.431
1. FC Schweinfurt 05,Alemannia Aachen,1,5,,,https://footystats.org/germany/1-fc-schweinfurt-1905-vs-tsv-alemannia-aachen-h2h-stats#8205830,1.01,1.84,0.842,1.932,0.205,0.227,0.568
Erzgebirge Aue,TSV 1860 München,2,0,,,https://footystats.org/germany/tsv-1860-munchen-vs-fc-erzgebirge-aue-h2h-stats#8205832,1.02,1.22,1.207,1.506,0.307,0.286,0.407
MSV Duisburg,FC Ingolstadt 04,2,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-msv-duisburg-h2h-stats#8205833,2.04,0.72,2.244,0.56,0.682,0.197,0.121
F.C. Hansa Rostock,TSV Havelse,1,1,,,https://footystats.org/germany/fc-hansa-rostock-vs-tsv-havelse-h2h-stats#8205839,2.37,1.46,1.926,0.881,0.578,0.193,0.229
SV Wehen Wiesbaden,1. FC Saarbrücken,1,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-1-fc-saarbrucken-h2h-stats#8205842,1.96,1.35,1.77,1.011,0.517,0.219,0.264
Energie Cottbus,VfB Stuttgart II U21,5,0,,,https://footystats.org/germany/fc-energie-cottbus-vs-vfb-stuttgart-1893-ii-h2h-stats#8205827,1.94,1.33,1.771,1.008,0.517,0.221,0.262
