home_team,away_team,home_goals,away_goals,match_date,match_time,url,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
SV Wehen Wiesbaden,SSV Ulm 1846,3,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-ssv-ulm-1846-h2h-stats#8206136,2.65,1.6,1.982,0.839,0.601,0.179,0.22
FC Viktoria Köln,1. FC Schweinfurt 05,2,0,,,https://footystats.org/germany/1-fc-schweinfurt-1905-vs-fc-viktoria-koln-h2h-stats#8206146,1.5,1.48,1.391,1.365,0.382,0.244,0.374
Erzgebirge Aue,F.C. Hansa Rostock,0,0,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-fc-hansa-rostock-h2h-stats#8206140,1.67,1.64,1.404,1.366,0.391,0.23,0.379
MSV Duisburg,VfB Stuttgart II U21,2,1,,,https://footystats.org/germany/msv-duisburg-vs-vfb-stuttgart-1893-ii-h2h-stats#8206041,1.36,1.44,1.319,1.428,0.356,0.253,0.392
TSG Hoffenheim II U23,TSV Havelse,0,0,,,https://footystats.org/germany/tsg-1899-hoffenheim-ii-vs-tsv-havelse-h2h-stats#8205778,2.03,1.48,1.727,1.058,0.504,0.214,0.281
Energie Cottbus,1. FC Saarbrücken,3,3,,,https://footystats.org/germany/fc-energie-cottbus-vs-1-fc-saarbrucken-h2h-stats#8206144,2.06,0.81,2.191,0.61,0.664,0.199,0.137
SV Waldhof Mannheim,SC Verl,2,2,,,https://footystats.org/germany/sv-waldhof-mannheim-07-vs-sc-verl-1924-h2h-stats#8206145,1.73,0.8,2.02,0.745,0.595,0.234,0.17
FC Ingolstadt 04,SSV Jahn Regensburg,1,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-ssv-jahn-2000-regensburg-h2h-stats#8206149,1.75,2.11,1.185,1.607,0.326,0.208,0.466
VfL Osnabrück,Alemannia Aachen,0,0,,,https://footystats.org/germany/vfl-osnabruck-vs-tsv-alemannia-aachen-h2h-stats#8206155,1.43,0.97,1.698,1.035,0.477,0.268,0.256
Rot-Weiss Essen,TSV 1860 München,1,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-rot-weiss-essen-h2h-stats#8206148,1.79,1.36,1.66,1.109,0.477,0.231,0.293
