home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
FC Viktoria Köln,MSV Duisburg,0,0,,,https://footystats.org/germany/msv-duisburg-vs-fc-viktoria-koln-h2h-stats#8205918,1.07,0.95,1.441,1.253,0.378,0.306,0.316
TSG Hoffenheim II U23,SV Wehen Wiesbaden,3,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205923,2.19,1.46,1.83,0.965,0.542,0.205,0.254
TSV Havelse,Alemannia Aachen,1,1,,,https://footystats.org/germany/tsv-havelse-vs-tsv-alemannia-aachen-h2h-stats#8205929,1.88,1.68,1.512,1.268,0.431,0.22,0.35
TSV 1860 München,SC Verl,0,2,,,https://footystats.org/germany/tsv-1860-munchen-vs-sc-verl-1924-h2h-stats#8205928,1.33,1.76,1.105,1.661,0.291,0.233,0.476
Erzgebirge Aue,1. FC Schweinfurt 05,4,0,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-1-fc-schweinfurt-1905-h2h-stats#8205911,1.98,2.3,1.222,1.58,0.342,0.197,0.461
VfL Osnabrück,VfB Stuttgart II U21,1,2,,,https://footystats.org/germany/vfl-osnabruck-vs-vfb-stuttgart-1893-ii-h2h-stats#8205919,1.52,1.11,1.657,1.087,0.467,0.256,0.277
SV Waldhof Mannheim,FC Ingolstadt 04,2,2,,,https://footystats.org/germany/fc-ingolstadt-04-vs-sv-waldhof-mannheim-07-h2h-stats#8205922,1.71,1.1,1.789,0.972,0.516,0.239,0.244
Rot-Weiss Essen,SSV Ulm 1846,3,2,,,https://footystats.org/germany/rot-weiss-essen-vs-ssv-ulm-1846-h2h-stats#8205931,1.62,1.4,1.524,1.235,0.428,0.241,0.332
F.C. Hansa Rostock,1. FC Saarbrücken,1,1,,,https://footystats.org/germany/fc-hansa-rostock-vs-1-fc-saarbrucken-h2h-stats#8205936,1.74,1.86,1.318,1.463,0.366,0.219,0.415
Energie Cottbus,SSV Jahn Regensburg,2,2,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-fc-energie-cottbus-h2h-stats#8205920,1.75,2.06,1.212,1.578,0.334,0.21,0.456
