home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link
TSV Havelse,TSG Hoffenheim II U23,4,0,,,https://footystats.org/germany/tsg-1899-hoffenheim-ii-vs-tsv-havelse-h2h-stats#8205935
1. FC Schweinfurt 05,FC Viktoria Köln,2,0,,,https://footystats.org/germany/1-fc-schweinfurt-1905-vs-fc-viktoria-koln-h2h-stats#8205913
VfB Stuttgart II U21,MSV Duisburg,0,4,,,https://footystats.org/germany/msv-duisburg-vs-vfb-stuttgart-1893-ii-h2h-stats#8205938
Alemannia Aachen,VfL Osnabrück,0,3,,,https://footystats.org/germany/vfl-osnabruck-vs-tsv-alemannia-aachen-h2h-stats#8205932
TSV 1860 München,Rot-Weiss Essen,1,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-rot-weiss-essen-h2h-stats#8205930
F.C. Hansa Rostock,Erzgebirge Aue,2,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-fc-hansa-rostock-h2h-stats#8205933
SC Verl,SV Waldhof Mannheim,5,2,,,https://footystats.org/germany/sv-waldhof-mannheim-07-vs-sc-verl-1924-h2h-stats#8205934
1. FC Saarbrücken,Energie Cottbus,1,1,,,https://footystats.org/germany/fc-energie-cottbus-vs-1-fc-saarbrucken-h2h-stats#8206061
SSV Ulm 1846,SV Wehen Wiesbaden,0,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-ssv-ulm-1846-h2h-stats#8206095
SSV Jahn Regensburg,FC Ingolstadt 04,0,3,,,https://footystats.org/germany/fc-ingolstadt-04-vs-ssv-jahn-2000-regensburg-h2h-stats#8205916
