home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
Rot-Weiss Essen,SV Wehen Wiesbaden,1,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-rot-weiss-essen-h2h-stats#8205946,1.09,1.07,1.368,1.338,0.358,0.295,0.348
SC Verl,VfB Stuttgart II U21,4,0,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-sc-verl-1924-h2h-stats#8205924,1.76,1.19,1.757,1.009,0.507,0.235,0.258
SSV Ulm 1846,MSV Duisburg,1,0,,,https://footystats.org/germany/msv-duisburg-vs-ssv-ulm-1846-h2h-stats#8205950,1.16,1.74,0.998,1.765,0.254,0.236,0.51
1. FC Schweinfurt 05,SSV Jahn Regensburg,0,1,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-1-fc-schweinfurt-1905-h2h-stats#8205917,1.57,1.47,1.445,1.314,0.401,0.241,0.358
1. FC Saarbrücken,VfL Osnabrück,0,1,,,https://footystats.org/germany/vfl-osnabruck-vs-1-fc-saarbrucken-h2h-stats#8205948,2.21,1.06,2.098,0.707,0.634,0.195,0.171
FC Viktoria Köln,SV Waldhof Mannheim,1,3,,,https://footystats.org/germany/fc-viktoria-koln-vs-sv-waldhof-mannheim-07-h2h-stats#8205945,0.73,1.14,1.016,1.672,0.235,0.312,0.454
F.C. Hansa Rostock,FC Ingolstadt 04,0,3,,,https://footystats.org/germany/fc-ingolstadt-04-vs-fc-hansa-rostock-h2h-stats#8205947,2.44,1.17,2.139,0.681,0.653,0.18,0.167
Energie Cottbus,TSG Hoffenheim II U23,3,1,,,https://footystats.org/germany/fc-energie-cottbus-vs-tsg-1899-hoffenheim-ii-h2h-stats#8206121,2.46,1.47,1.966,0.847,0.593,0.187,0.22
TSV 1860 München,Alemannia Aachen,2,2,,,https://footystats.org/germany/tsv-1860-munchen-vs-tsv-alemannia-aachen-h2h-stats#8206122,0.86,1.18,1.102,1.598,0.268,0.299,0.433
TSV Havelse,Erzgebirge Aue,3,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-tsv-havelse-h2h-stats#8206099,1.56,0.87,1.862,0.884,0.536,0.255,0.21
