home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link
1. FC Schweinfurt 05,FC Ingolstadt 04,1,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-1-fc-schweinfurt-1905-h2h-stats#8205955
SSV Ulm 1846,Alemannia Aachen,1,3,,,https://footystats.org/germany/tsv-alemannia-aachen-vs-ssv-ulm-1846-h2h-stats#8205964
Energie Cottbus,SV Waldhof Mannheim,1,1,,,https://footystats.org/germany/fc-energie-cottbus-vs-sv-waldhof-mannheim-07-h2h-stats#8205958
Rot-Weiss Essen,SSV Jahn Regensburg,3,2,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-rot-weiss-essen-h2h-stats#8205949
1. FC Saarbrücken,VfB Stuttgart II U21,2,0,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-1-fc-saarbrucken-h2h-stats#8205956
F.C. Hansa Rostock,VfL Osnabrück,2,2,,,https://footystats.org/germany/vfl-osnabruck-vs-fc-hansa-rostock-h2h-stats#8205959
SV Wehen Wiesbaden,MSV Duisburg,6,1,,,https://footystats.org/germany/msv-duisburg-vs-sv-wehen-wiesbaden-h2h-stats#8205960
TSV Havelse,TSV 1860 München,0,5,,,https://footystats.org/germany/tsv-1860-munchen-vs-tsv-havelse-h2h-stats#8205961
SC Verl,TSG Hoffenheim II U23,3,1,,,https://footystats.org/germany/tsg-1899-hoffenheim-ii-vs-sc-verl-1924-h2h-stats#8205968
FC Viktoria Köln,Erzgebirge Aue,2,2,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-fc-viktoria-koln-h2h-stats#8205962
