home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link
FC Viktoria Köln,MSV Duisburg,0,0,,,https://footystats.org/germany/msv-duisburg-vs-fc-viktoria-koln-h2h-stats#8205918
TSG Hoffenheim II U23,SV Wehen Wiesbaden,3,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205923
TSV Havelse,Alemannia Aachen,1,1,,,https://footystats.org/germany/tsv-havelse-vs-tsv-alemannia-aachen-h2h-stats#8205929
TSV 1860 München,SC Verl,0,2,,,https://footystats.org/germany/tsv-1860-munchen-vs-sc-verl-1924-h2h-stats#8205928
Erzgebirge Aue,1. FC Schweinfurt 05,4,0,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-1-fc-schweinfurt-1905-h2h-stats#8205911
VfL Osnabrück,VfB Stuttgart II U21,1,2,,,https://footystats.org/germany/vfl-osnabruck-vs-vfb-stuttgart-1893-ii-h2h-stats#8205919
SV Waldhof Mannheim,FC Ingolstadt 04,2,2,,,https://footystats.org/germany/fc-ingolstadt-04-vs-sv-waldhof-mannheim-07-h2h-stats#8205922
Rot-Weiss Essen,SSV Ulm 1846,3,2,,,https://footystats.org/germany/rot-weiss-essen-vs-ssv-ulm-1846-h2h-stats#8205931
F.C. Hansa Rostock,1. FC Saarbrücken,1,1,,,https://footystats.org/germany/fc-hansa-rostock-vs-1-fc-saarbrucken-h2h-stats#8205936
Energie Cottbus,SSV Jahn Regensburg,2,2,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-fc-energie-cottbus-h2h-stats#8205920
