home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link
Alemannia Aachen,1. FC Saarbrücken,2,0,,,https://footystats.org/germany/1-fc-saarbrucken-vs-tsv-alemannia-aachen-h2h-stats#8205876
Rot-Weiss Essen,1. FC Schweinfurt 05,2,1,,,https://footystats.org/germany/rot-weiss-essen-vs-1-fc-schweinfurt-1905-h2h-stats#8205879
TSG Hoffenheim II U23,SV Waldhof Mannheim,2,0,,,https://footystats.org/germany/tsg-1899-hoffenheim-ii-vs-sv-waldhof-mannheim-07-h2h-stats#8205882
F.C. Hansa Rostock,SC Verl,2,2,,,https://footystats.org/germany/fc-hansa-rostock-vs-sc-verl-1924-h2h-stats#8205868
Erzgebirge Aue,SSV Jahn Regensburg,4,3,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-ssv-jahn-2000-regensburg-h2h-stats#8205864
TSV Havelse,SV Wehen Wiesbaden,0,2,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-tsv-havelse-h2h-stats#8205869
SSV Ulm 1846,VfB Stuttgart II U21,1,3,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-ssv-ulm-1846-h2h-stats#8205880
VfL Osnabrück,MSV Duisburg,0,0,,,https://footystats.org/germany/msv-duisburg-vs-vfl-osnabruck-h2h-stats#8205884
TSV 1860 München,Energie Cottbus,3,0,,,https://footystats.org/germany/tsv-1860-munchen-vs-fc-energie-cottbus-h2h-stats#8205885
FC Viktoria Köln,FC Ingolstadt 04,3,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-fc-viktoria-koln-h2h-stats#8205877
