home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG
SV Wehen Wiesbaden,SC Verl,2,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-sc-verl-1924-h2h-stats#8205943,0.73,1.97
VfL Osnabrück,TSV 1860 München,1,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-vfl-osnabruck-h2h-stats#8206096,1.64,0.97
SV Waldhof Mannheim,F.C. Hansa Rostock,0,4,,,https://footystats.org/germany/fc-hansa-rostock-vs-sv-waldhof-mannheim-07-h2h-stats#8205942,0.98,1.56
MSV Duisburg,SSV Jahn Regensburg,2,0,,,https://footystats.org/germany/msv-duisburg-vs-ssv-jahn-2000-regensburg-h2h-stats#8205800,2.26,1.07
Rot-Weiss Essen,TSV Havelse,4,1,,,https://footystats.org/germany/rot-weiss-essen-vs-tsv-havelse-h2h-stats#8205801,1.59,2.41
Erzgebirge Aue,SSV Ulm 1846,0,3,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-ssv-ulm-1846-h2h-stats#8205921,1.02,1.64
Energie Cottbus,1. FC Schweinfurt 05,2,1,,,https://footystats.org/germany/fc-energie-cottbus-vs-1-fc-schweinfurt-1905-h2h-stats#8205937,1.57,2.19
TSG Hoffenheim II U23,Alemannia Aachen,2,3,,,https://footystats.org/germany/tsg-1899-hoffenheim-ii-vs-tsv-alemannia-aachen-h2h-stats#8205944,1.89,1.62
FC Ingolstadt 04,VfB Stuttgart II U21,2,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-vfb-stuttgart-1893-ii-h2h-stats#8206050,1.25,2.36
FC Viktoria Köln,1. FC Saarbrücken,2,0,,,https://footystats.org/germany/1-fc-saarbrucken-vs-fc-viktoria-koln-h2h-stats#8205939,1.09,2.56
