home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
TSV Havelse,TSG Hoffenheim II U23,4,0,,,https://footystats.org/germany/tsg-1899-hoffenheim-ii-vs-tsv-havelse-h2h-stats#8205935,1.56,1.6,1.356,1.408,0.373,0.236,0.391
1. FC Schweinfurt 05,FC Viktoria Köln,2,0,,,https://footystats.org/germany/1-fc-schweinfurt-1905-vs-fc-viktoria-koln-h2h-stats#8205913,0.96,1.11,1.233,1.466,0.311,0.301,0.388
VfB Stuttgart II U21,MSV Duisburg,0,4,,,https://footystats.org/germany/msv-duisburg-vs-vfb-stuttgart-1893-ii-h2h-stats#8205938,1.34,1.6,1.206,1.551,0.321,0.244,0.436
Alemannia Aachen,VfL Osnabrück,0,3,,,https://footystats.org/germany/vfl-osnabruck-vs-tsv-alemannia-aachen-h2h-stats#8205932,1.68,1.55,1.467,1.301,0.411,0.233,0.356
TSV 1860 München,Rot-Weiss Essen,1,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-rot-weiss-essen-h2h-stats#8205930,1.23,1.04,1.499,1.217,0.405,0.284,0.311
F.C. Hansa Rostock,Erzgebirge Aue,2,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-fc-hansa-rostock-h2h-stats#8205933,1.5,1.16,1.607,1.137,0.45,0.256,0.294
SC Verl,SV Waldhof Mannheim,5,2,,,https://footystats.org/germany/sv-waldhof-mannheim-07-vs-sc-verl-1924-h2h-stats#8205934,2.09,1.11,2.003,0.791,0.599,0.207,0.195
1. FC Saarbrücken,Energie Cottbus,1,1,,,https://footystats.org/germany/fc-energie-cottbus-vs-1-fc-saarbrucken-h2h-stats#8206061,2.36,1.26,2.045,0.766,0.618,0.189,0.192
SSV Ulm 1846,SV Wehen Wiesbaden,0,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-ssv-ulm-1846-h2h-stats#8206095,1.71,1.46,1.544,1.223,0.437,0.234,0.33
SSV Jahn Regensburg,FC Ingolstadt 04,0,3,,,https://footystats.org/germany/fc-ingolstadt-04-vs-ssv-jahn-2000-regensburg-h2h-stats#8205916,1.76,1.45,1.582,1.187,0.45,0.231,0.319
