home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG
SSV Ulm 1846,1. FC Schweinfurt 05,5,1,,,https://footystats.org/germany/1-fc-schweinfurt-1905-vs-ssv-ulm-1846-h2h-stats#8205776,1.58,1.43
Rot-Weiss Essen,TSG Hoffenheim II U23,3,1,,,https://footystats.org/germany/rot-weiss-essen-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205840,1.42,2.12
VfL Osnabrück,SSV Jahn Regensburg,2,0,,,https://footystats.org/germany/vfl-osnabruck-vs-ssv-jahn-2000-regensburg-h2h-stats#8205845,1.55,1.40
TSV 1860 München,FC Viktoria Köln,2,2,,,https://footystats.org/germany/tsv-1860-munchen-vs-fc-viktoria-koln-h2h-stats#8205849,2.78,0.61
SC Verl,FC Ingolstadt 04,2,2,,,https://footystats.org/germany/fc-ingolstadt-04-vs-sc-verl-1924-h2h-stats#8205850,1.58,1.77
TSV Havelse,SV Waldhof Mannheim,2,3,,,https://footystats.org/germany/tsv-havelse-vs-sv-waldhof-mannheim-07-h2h-stats#8205805,1.73,1.48
1. FC Saarbrücken,MSV Duisburg,0,0,,,https://footystats.org/germany/msv-duisburg-vs-1-fc-saarbrucken-h2h-stats#8205844,1.15,1.71
Alemannia Aachen,Erzgebirge Aue,0,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-tsv-alemannia-aachen-h2h-stats#8205847,1.61,1.47
VfB Stuttgart II U21,SV Wehen Wiesbaden,0,0,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-vfb-stuttgart-1893-ii-h2h-stats#8205851,1.46,1.32
F.C. Hansa Rostock,Energie Cottbus,1,3,,,https://footystats.org/germany/fc-hansa-rostock-vs-fc-energie-cottbus-h2h-stats#8206110,2.04,1.17
