home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG
1. FC Schweinfurt 05,TSV Havelse,2,3,,,https://footystats.org/germany/1-fc-schweinfurt-1905-vs-tsv-havelse-h2h-stats#8205910,1.97,1.39
SSV Jahn Regensburg,SV Waldhof Mannheim,3,0,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-sv-waldhof-mannheim-07-h2h-stats#8206098,1.57,1.78
SV Wehen Wiesbaden,Energie Cottbus,3,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-fc-energie-cottbus-h2h-stats#8206094,1.94,0.85
SC Verl,Rot-Weiss Essen,0,0,,,https://footystats.org/germany/rot-weiss-essen-vs-sc-verl-1924-h2h-stats#8205908,1.39,1.23
Alemannia Aachen,FC Viktoria Köln,0,3,,,https://footystats.org/germany/fc-viktoria-koln-vs-tsv-alemannia-aachen-h2h-stats#8205906,1.05,1.11
1. FC Saarbrücken,TSG Hoffenheim II U23,2,2,,,https://footystats.org/germany/1-fc-saarbrucken-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205907,2.99,1.97
MSV Duisburg,Erzgebirge Aue,0,0,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-msv-duisburg-h2h-stats#8205909,1.85,0.96
VfB Stuttgart II U21,F.C. Hansa Rostock,0,1,,,https://footystats.org/germany/fc-hansa-rostock-vs-vfb-stuttgart-1893-ii-h2h-stats#8205915,1.08,0.80
FC Ingolstadt 04,TSV 1860 München,1,2,,,https://footystats.org/germany/fc-ingolstadt-04-vs-tsv-1860-munchen-h2h-stats#8206104,2.22,1.60
SSV Ulm 1846,VfL Osnabrück,3,5,,,https://footystats.org/germany/vfl-osnabruck-vs-ssv-ulm-1846-h2h-stats#8205912,1.19,1.83
