home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
SV Wehen Wiesbaden,SC Verl,2,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-sc-verl-1924-h2h-stats#8205943,0.73,1.97,0.593,2.202,0.129,0.205,0.666
VfL Osnabrück,TSV 1860 München,1,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-vfl-osnabruck-h2h-stats#8206096,1.64,0.97,1.838,0.916,0.531,0.246,0.223
SV Waldhof Mannheim,F.C. Hansa Rostock,0,4,,,https://footystats.org/germany/fc-hansa-rostock-vs-sv-waldhof-mannheim-07-h2h-stats#8205942,0.98,1.56,0.967,1.779,0.238,0.254,0.508
MSV Duisburg,SSV Jahn Regensburg,2,0,,,https://footystats.org/germany/msv-duisburg-vs-ssv-jahn-2000-regensburg-h2h-stats#8205800,2.26,1.07,2.116,0.693,0.642,0.191,0.167
Rot-Weiss Essen,TSV Havelse,4,1,,,https://footystats.org/germany/rot-weiss-essen-vs-tsv-havelse-h2h-stats#8205801,1.59,2.41,0.939,1.868,0.249,0.192,0.559
Erzgebirge Aue,SSV Ulm 1846,0,3,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-ssv-ulm-1846-h2h-stats#8205921,1.02,1.64,0.952,1.802,0.235,0.246,0.519
Energie Cottbus,1. FC Schweinfurt 05,2,1,,,https://footystats.org/germany/fc-energie-cottbus-vs-1-fc-schweinfurt-1905-h2h-stats#8205937,1.57,2.19,1.033,1.762,0.276,0.205,0.519
TSG Hoffenheim II U23,Alemannia Aachen,2,3,,,https://footystats.org/germany/tsg-1899-hoffenheim-ii-vs-tsv-alemannia-aachen-h2h-stats#8205944,1.89,1.62,1.555,1.224,0.445,0.221,0.335
FC Ingolstadt 04,VfB Stuttgart II U21,2,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-vfb-stuttgart-1893-ii-h2h-stats#8206050,1.25,2.36,0.76,2.051,0.19,0.189,0.621
FC Viktoria Köln,1. FC Saarbrücken,2,0,,,https://footystats.org/germany/1-fc-saarbrucken-vs-fc-viktoria-koln-h2h-stats#8205939,1.09,2.56,0.591,2.241,0.141,0.168,0.691
