home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
1. FC Schweinfurt 05,TSV Havelse,2,3,,,https://footystats.org/germany/1-fc-schweinfurt-1905-vs-tsv-havelse-h2h-stats#8205910,1.97,1.39,1.75,1.032,0.51,0.219,0.271
SSV Jahn Regensburg,SV Waldhof Mannheim,3,0,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-sv-waldhof-mannheim-07-h2h-stats#8206098,1.57,1.78,1.255,1.518,0.343,0.227,0.43
SV Wehen Wiesbaden,Energie Cottbus,3,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-fc-energie-cottbus-h2h-stats#8206094,1.94,0.85,2.101,0.686,0.629,0.213,0.158
SC Verl,Rot-Weiss Essen,0,0,,,https://footystats.org/germany/rot-weiss-essen-vs-sc-verl-1924-h2h-stats#8205908,1.39,1.23,1.481,1.257,0.406,0.262,0.332
Alemannia Aachen,FC Viktoria Köln,0,3,,,https://footystats.org/germany/fc-viktoria-koln-vs-tsv-alemannia-aachen-h2h-stats#8205906,1.05,1.11,1.307,1.398,0.338,0.294,0.368
1. FC Saarbrücken,TSG Hoffenheim II U23,2,2,,,https://footystats.org/germany/1-fc-saarbrucken-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205907,2.99,1.97,1.934,0.897,0.589,0.168,0.243
MSV Duisburg,Erzgebirge Aue,0,0,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-msv-duisburg-h2h-stats#8205909,1.85,0.96,1.973,0.802,0.583,0.225,0.192
VfB Stuttgart II U21,F.C. Hansa Rostock,0,1,,,https://footystats.org/germany/fc-hansa-rostock-vs-vfb-stuttgart-1893-ii-h2h-stats#8205915,1.08,0.8,1.567,1.117,0.417,0.316,0.267
FC Ingolstadt 04,TSV 1860 München,1,2,,,https://footystats.org/germany/fc-ingolstadt-04-vs-tsv-1860-munchen-h2h-stats#8206104,2.22,1.6,1.76,1.037,0.519,0.203,0.278
SSV Ulm 1846,VfL Osnabrück,3,5,,,https://footystats.org/germany/vfl-osnabruck-vs-ssv-ulm-1846-h2h-stats#8205912,1.19,1.83,0.971,1.8,0.247,0.229,0.524
