home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
Erzgebirge Aue,FC Ingolstadt 04,2,2,,,https://footystats.org/germany/fc-ingolstadt-04-vs-fc-erzgebirge-aue-h2h-stats#8205898,1.93,1.25,1.819,0.96,0.533,0.221,0.246
F.C. Hansa Rostock,Alemannia Aachen,2,2,,,https://footystats.org/germany/fc-hansa-rostock-vs-tsv-alemannia-aachen-h2h-stats#8205901,2.81,1.08,2.346,0.504,0.733,0.149,0.118
SV Waldhof Mannheim,1. FC Saarbrücken,2,1,,,https://footystats.org/germany/1-fc-saarbrucken-vs-sv-waldhof-mannheim-07-h2h-stats#8205914,1.8,1.24,1.747,1.022,0.505,0.231,0.263
TSV 1860 München,1. FC Schweinfurt 05,3,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-1-fc-schweinfurt-1905-h2h-stats#8206060,1.47,1.03,1.681,1.057,0.473,0.262,0.265
TSV Havelse,SC Verl,2,2,,,https://footystats.org/germany/tsv-havelse-vs-sc-verl-1924-h2h-stats#8205818,1.32,1.15,1.487,1.243,0.405,0.271,0.324
Energie Cottbus,MSV Duisburg,3,2,,,https://footystats.org/germany/msv-duisburg-vs-fc-energie-cottbus-h2h-stats#8205896,1.82,1.31,1.712,1.058,0.494,0.229,0.276
FC Viktoria Köln,SSV Ulm 1846,0,1,,,https://footystats.org/germany/fc-viktoria-koln-vs-ssv-ulm-1846-h2h-stats#8205900,2.08,1.38,1.82,0.969,0.536,0.211,0.253
TSG Hoffenheim II U23,SSV Jahn Regensburg,1,0,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205902,1.8,1.63,1.493,1.282,0.423,0.225,0.353
VfL Osnabrück,SV Wehen Wiesbaden,0,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-vfl-osnabruck-h2h-stats#8205903,1.66,0.88,1.918,0.839,0.558,0.244,0.198
Rot-Weiss Essen,VfB Stuttgart II U21,1,1,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-rot-weiss-essen-h2h-stats#8205904,1.94,1.85,1.447,1.34,0.411,0.213,0.376
