home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
MSV Duisburg,Rot-Weiss Essen,1,1,,,https://footystats.org/germany/msv-duisburg-vs-rot-weiss-essen-h2h-stats#8205857,1.95,1.37,1.751,1.029,0.51,0.22,0.27
FC Viktoria Köln,F.C. Hansa Rostock,2,4,,,https://footystats.org/germany/fc-hansa-rostock-vs-fc-viktoria-koln-h2h-stats#8205870,1.29,1.88,1.013,1.762,0.263,0.225,0.512
TSG Hoffenheim II U23,Erzgebirge Aue,1,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205803,1.85,1.54,1.581,1.195,0.452,0.224,0.324
1. FC Schweinfurt 05,VfL Osnabrück,1,2,,,https://footystats.org/germany/vfl-osnabruck-vs-1-fc-schweinfurt-1905-h2h-stats#8206112,1.55,2.3,0.967,1.834,0.256,0.198,0.545
Energie Cottbus,TSV Havelse,4,3,,,https://footystats.org/germany/fc-energie-cottbus-vs-tsv-havelse-h2h-stats#8205865,1.96,1.53,1.654,1.128,0.479,0.218,0.303
FC Ingolstadt 04,1. FC Saarbrücken,2,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-1-fc-saarbrucken-h2h-stats#8205866,2.15,0.9,2.174,0.632,0.66,0.194,0.146
SSV Jahn Regensburg,VfB Stuttgart II U21,3,2,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-vfb-stuttgart-1893-ii-h2h-stats#8205867,1.64,1.93,1.215,1.567,0.332,0.218,0.45
SC Verl,SSV Ulm 1846,5,0,,,https://footystats.org/germany/sc-verl-1924-vs-ssv-ulm-1846-h2h-stats#8205871,2.16,0.78,2.259,0.553,0.691,0.187,0.122
SV Waldhof Mannheim,TSV 1860 München,3,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-sv-waldhof-mannheim-07-h2h-stats#8205875,2.37,1.72,1.769,1.035,0.525,0.196,0.28
SV Wehen Wiesbaden,Alemannia Aachen,1,2,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-tsv-alemannia-aachen-h2h-stats#8205873,1.98,1.49,1.691,1.091,0.491,0.217,0.291
