home_team,away_team,home_goals,away_goals,match_date,match_time,url
VfB Stuttgart II U21,FC Ingolstadt 04,2,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-vfb-stuttgart-1893-ii-h2h-stats#8206073
F.C. Hansa Rostock,SV Waldhof Mannheim,1,0,,,https://footystats.org/germany/fc-hansa-rostock-vs-sv-waldhof-mannheim-07-h2h-stats#8206043
SSV Jahn Regensburg,MSV Duisburg,0,4,,,https://footystats.org/germany/msv-duisburg-vs-ssv-jahn-2000-regensburg-h2h-stats#8206057
SC Verl,SV Wehen Wiesbaden,2,2,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-sc-verl-1924-h2h-stats#8206137
Alemannia Aachen,TSG Hoffenheim II U23,2,4,,,https://footystats.org/germany/tsg-1899-hoffenheim-ii-vs-tsv-alemannia-aachen-h2h-stats#8206072
TSV 1860 München,VfL Osnabrück,3,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-vfl-osnabruck-h2h-stats#8206135
SSV Ulm 1846,Erzgebirge Aue,1,0,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-ssv-ulm-1846-h2h-stats#8206138
1. FC Saarbrücken,FC Viktoria Köln,2,1,,,https://footystats.org/germany/1-fc-saarbrucken-vs-fc-viktoria-koln-h2h-stats#8206139
TSV Havelse,Rot-Weiss Essen,1,1,,,https://footystats.org/germany/rot-weiss-essen-vs-tsv-havelse-h2h-stats#8206154
1. FC Schweinfurt 05,Energie Cottbus,0,2,,,https://footystats.org/germany/fc-energie-cottbus-vs-1-fc-schweinfurt-1905-h2h-stats#8206071
