home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link
Rot-Weiss Essen,VfL Osnabrück,1,1,,,https://footystats.org/germany/vfl-osnabruck-vs-rot-weiss-essen-h2h-stats#8205781
SV Waldhof Mannheim,VfB Stuttgart II U21,0,1,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-sv-waldhof-mannheim-07-h2h-stats#8205816
Energie Cottbus,Erzgebirge Aue,2,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-fc-energie-cottbus-h2h-stats#8205820
F.C. Hansa Rostock,TSV 1860 München,2,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-fc-hansa-rostock-h2h-stats#8205821
TSV Havelse,FC Ingolstadt 04,2,6,,,https://footystats.org/germany/fc-ingolstadt-04-vs-tsv-havelse-h2h-stats#8205822
1. FC Saarbrücken,SSV Ulm 1846,3,1,,,https://footystats.org/germany/1-fc-saarbrucken-vs-ssv-ulm-1846-h2h-stats#8205777
1. FC Schweinfurt 05,MSV Duisburg,0,3,,,https://footystats.org/germany/msv-duisburg-vs-1-fc-schweinfurt-1905-h2h-stats#8205780
FC Viktoria Köln,TSG Hoffenheim II U23,2,1,,,https://footystats.org/germany/fc-viktoria-koln-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205804
SC Verl,Alemannia Aachen,2,1,,,https://footystats.org/germany/tsv-alemannia-aachen-vs-sc-verl-1924-h2h-stats#8205807
SV Wehen Wiesbaden,SSV Jahn Regensburg,2,0,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-ssv-jahn-2000-regensburg-h2h-stats#8205815
