home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG
MSV Duisburg,SC Verl,4,2,,,https://footystats.org/germany/msv-duisburg-vs-sc-verl-1924-h2h-stats#8206076,1.14,2.46
Alemannia Aachen,Rot-Weiss Essen,3,3,,,https://footystats.org/germany/rot-weiss-essen-vs-tsv-alemannia-aachen-h2h-stats#8205941,1.16,1.34
TSG Hoffenheim II U23,F.C. Hansa Rostock,2,2,,,https://footystats.org/germany/fc-hansa-rostock-vs-tsg-1899-hoffenheim-ii-h2h-stats#8206100,1.50,1.22
VfB Stuttgart II U21,TSV 1860 München,2,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-vfb-stuttgart-1893-ii-h2h-stats#8205954,2.17,1.34
FC Ingolstadt 04,Energie Cottbus,0,0,,,https://footystats.org/germany/fc-ingolstadt-04-vs-fc-energie-cottbus-h2h-stats#8205925,1.07,1.45
SSV Jahn Regensburg,FC Viktoria Köln,0,0,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-fc-viktoria-koln-h2h-stats#8205940,1.85,1.01
Erzgebirge Aue,1. FC Saarbrücken,0,0,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-1-fc-saarbrucken-h2h-stats#8205951,1.39,1.71
SV Wehen Wiesbaden,1. FC Schweinfurt 05,2,0,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-1-fc-schweinfurt-1905-h2h-stats#8205952,2.06,0.78
VfL Osnabrück,TSV Havelse,2,0,,,https://footystats.org/germany/vfl-osnabruck-vs-tsv-havelse-h2h-stats#8206115,2.02,1.63
SV Waldhof Mannheim,SSV Ulm 1846,2,1,,,https://footystats.org/germany/sv-waldhof-mannheim-07-vs-ssv-ulm-1846-h2h-stats#8205953,0.93,1.65
