home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link
SV Wehen Wiesbaden,SC Verl,2,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-sc-verl-1924-h2h-stats#8205943
VfL Osnabrück,TSV 1860 München,1,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-vfl-osnabruck-h2h-stats#8206096
SV Waldhof Mannheim,F.C. Hansa Rostock,0,4,,,https://footystats.org/germany/fc-hansa-rostock-vs-sv-waldhof-mannheim-07-h2h-stats#8205942
MSV Duisburg,SSV Jahn Regensburg,2,0,,,https://footystats.org/germany/msv-duisburg-vs-ssv-jahn-2000-regensburg-h2h-stats#8205800
Rot-Weiss Essen,TSV Havelse,4,1,,,https://footystats.org/germany/rot-weiss-essen-vs-tsv-havelse-h2h-stats#8205801
Erzgebirge Aue,SSV Ulm 1846,0,3,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-ssv-ulm-1846-h2h-stats#8205921
Energie Cottbus,1. FC Schweinfurt 05,2,1,,,https://footystats.org/germany/fc-energie-cottbus-vs-1-fc-schweinfurt-1905-h2h-stats#8205937
TSG Hoffenheim II U23,Alemannia Aachen,2,3,,,https://footystats.org/germany/tsg-1899-hoffenheim-ii-vs-tsv-alemannia-aachen-h2h-stats#8205944
FC Ingolstadt 04,VfB Stuttgart II U21,2,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-vfb-stuttgart-1893-ii-h2h-stats#8206050
FC Viktoria Köln,1. FC Saarbrücken,2,0,,,https://footystats.org/germany/1-fc-saarbrucken-vs-fc-viktoria-koln-h2h-stats#8205939
