home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
Alemannia Aachen,1. FC Saarbrücken,2,0,,,https://footystats.org/germany/1-fc-saarbrucken-vs-tsv-alemannia-aachen-h2h-stats#8205876,1.28,1.67,1.122,1.638,0.294,0.24,0.466
Rot-Weiss Essen,1. FC Schweinfurt 05,2,1,,,https://footystats.org/germany/rot-weiss-essen-vs-1-fc-schweinfurt-1905-h2h-stats#8205879,2.57,1.89,1.776,1.038,0.53,0.186,0.284
TSG Hoffenheim II U23,SV Waldhof Mannheim,2,0,,,https://footystats.org/germany/tsg-1899-hoffenheim-ii-vs-sv-waldhof-mannheim-07-h2h-stats#8205882,2.36,2.31,1.432,1.378,0.414,0.19,0.396
F.C. Hansa Rostock,SC Verl,2,2,,,https://footystats.org/germany/fc-hansa-rostock-vs-sc-verl-1924-h2h-stats#8205868,2.24,1.41,1.889,0.91,0.563,0.201,0.236
Erzgebirge Aue,SSV Jahn Regensburg,4,3,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-ssv-jahn-2000-regensburg-h2h-stats#8205864,2.17,2.19,1.39,1.412,0.398,0.198,0.405
TSV Havelse,SV Wehen Wiesbaden,0,2,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-tsv-havelse-h2h-stats#8205869,1.39,0.94,1.692,1.035,0.473,0.272,0.254
SSV Ulm 1846,VfB Stuttgart II U21,1,3,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-ssv-ulm-1846-h2h-stats#8205880,0.88,1.88,0.733,2.047,0.171,0.22,0.609
VfL Osnabrück,MSV Duisburg,0,0,,,https://footystats.org/germany/msv-duisburg-vs-vfl-osnabruck-h2h-stats#8205884,1.67,0.72,2.045,0.715,0.602,0.24,0.158
TSV 1860 München,Energie Cottbus,3,0,,,https://footystats.org/germany/tsv-1860-munchen-vs-fc-energie-cottbus-h2h-stats#8205885,1.01,1.86,0.832,1.943,0.202,0.225,0.573
FC Viktoria Köln,FC Ingolstadt 04,3,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-fc-viktoria-koln-h2h-stats#8205877,2.43,0.99,2.245,0.581,0.691,0.173,0.136
