spieltag,home_team,away_team,home_goals,away_goals,url
4,FC Viktoria Köln,SSV Jahn Regensburg,1,0,https://int.soccerway.com/matches/2025/08/29/germany/3-liga/viktoria/regensburg/I2005476/
4,SC Verl,MSV Duisburg,2,3,https://int.soccerway.com/matches/2025/08/30/germany/3-liga/verl/duisburg/I2323481/
4,1. FC Saarbrücken,Erzgebirge Aue,4,1,https://int.soccerway.com/matches/2025/08/30/germany/3-liga/saarbr-cken/aue/I1998473/
4,TSV 1860 München,VfB Stuttgart II U21,1,1,https://int.soccerway.com/matches/2025/08/30/germany/3-liga/1860-m-nchen/stuttgart-ii/I2006052/
4,Energie Cottbus,FC Ingolstadt 04,1,1,https://int.soccerway.com/matches/2025/08/30/germany/3-liga/cottbus/ingolstadt/I2323483/
4,TSV Havelse,VfL Osnabrück,0,2,https://int.soccerway.com/matches/2025/08/30/germany/3-liga/havelse/osnabr-ck/I1998476/
4,F.C. Hansa Rostock,TSG Hoffenheim II U23,0,1,https://int.soccerway.com/matches/2025/08/30/germany/3-liga/rostock/hoffenheim-ii/I1998468/
4,SSV Ulm 1846,SV Waldhof Mannheim,1,2,https://int.soccerway.com/matches/2025/08/31/germany/3-liga/ulm/waldhof/I1998448/
4,1. FC Schweinfurt 05,SV Wehen Wiesbaden,0,1,https://int.soccerway.com/matches/2025/08/31/germany/3-liga/schweinfurt/wiesbaden/I2005480/
4,Rot-Weiss Essen,Alemannia Aachen,2,3,https://int.soccerway.com/matches/2025/08/31/germany/3-liga/rw-essen/alemannia/I1998467/
