spieltag,home_team,away_team,home_goals,away_goals,url,home_xG,away_xG
4,FC Viktoria Köln,SSV Jahn Regensburg,1,0,https://int.soccerway.com/matches/2025/08/29/germany/3-liga/viktoria/regensburg/I2005476/,1.95,0.92
4,SC Verl,MSV Duisburg,2,3,https://int.soccerway.com/matches/2025/08/30/germany/3-liga/verl/duisburg/I2323481/,1.30,1.49
4,1. FC Saarbrücken,Erzgebirge Aue,4,1,https://int.soccerway.com/matches/2025/08/30/germany/3-liga/saarbr-cken/aue/I1998473/,2.34,0.92
4,TSV 1860 München,VfB Stuttgart II U21,1,1,https://int.soccerway.com/matches/2025/08/30/germany/3-liga/1860-m-nchen/stuttgart-ii/I2006052/,1.84,1.76
4,Energie Cottbus,FC Ingolstadt 04,1,1,https://int.soccerway.com/matches/2025/08/30/germany/3-liga/cottbus/ingolstadt/I2323483/,1.67,2.79
4,TSV Havelse,VfL Osnabrück,0,2,https://int.soccerway.com/matches/2025/08/30/germany/3-liga/havelse/osnabr-ck/I1998476/,0.71,1.41
4,F.C. Hansa Rostock,TSG Hoffenheim II U23,0,1,https://int.soccerway.com/matches/2025/08/30/germany/3-liga/rostock/hoffenheim-ii/I1998468/,1.16,1.66
4,SSV Ulm 1846,SV Waldhof Mannheim,1,2,https://int.soccerway.com/matches/2025/08/31/germany/3-liga/ulm/waldhof/I1998448/,1.95,3.45
4,1. FC Schweinfurt 05,SV Wehen Wiesbaden,0,1,https://int.soccerway.com/matches/2025/08/31/germany/3-liga/schweinfurt/wiesbaden/I2005480/,2.75,3.00
4,Rot-Weiss Essen,Alemannia Aachen,2,3,https://int.soccerway.com/matches/2025/08/31/germany/3-liga/rw-essen/alemannia/I1998467/,3.23,4.92
